mod,res,n_members,members,witness_primes,smallest,hard
4,0,15,8;12;16;20;24;28;32;36;40;44;48;52;56;60;64,2,2,False
4,1,15,5;9;13;17;21;25;29;33;37;41;45;49;53;57;61,2,2,False
4,2,15,6;10;14;18;22;26;30;34;38;42;46;50;54;58;62,,,True
4,3,15,7;11;15;19;23;27;31;35;39;43;47;51;55;59;63,,,True
8,0,8,8;16;24;32;40;48;56;64,2,2,False
8,1,7,9;17;25;33;41;49;57,2,2,False
8,2,7,10;18;26;34;42;50;58,,,True
8,3,7,11;19;27;35;43;51;59,,,True
8,4,7,12;20;28;36;44;52;60,2,2,False
8,5,8,5;13;21;29;37;45;53;61,2,2,False
8,6,8,6;14;22;30;38;46;54;62,,,True
8,7,8,7;15;23;31;39;47;55;63,,,True
12,0,5,12;24;36;48;60,2,2,False
12,1,5,13;25;37;49;61,2,2,False
12,2,5,14;26;38;50;62,,,True
12,3,5,15;27;39;51;63,,,True
12,4,5,16;28;40;52;64,2,2,False
12,5,5,5;17;29;41;53,2,2,False
12,6,5,6;18;30;42;54,,,True
12,7,5,7;19;31;43;55,,,True
12,8,5,8;20;32;44;56,2,2,False
12,9,5,9;21;33;45;57,2,2,False
12,10,5,10;22;34;46;58,,,True
12,11,5,11;23;35;47;59,,,True
16,0,4,16;32;48;64,2,2,False
16,5,4,5;21;37;53,2;101,2,False
16,6,4,6;22;38;54,73,73,True
16,7,4,7;23;39;55,,,True
16,8,4,8;24;40;56,2,2,False
16,9,4,9;25;41;57,2,2,False
16,10,4,10;26;42;58,,,True
16,11,4,11;27;43;59,,,True
16,12,4,12;28;44;60,2,2,False
16,13,4,13;29;45;61,2,2,False
16,14,4,14;30;46;62,,,True
16,15,4,15;31;47;63,97,97,True
