b,b_mod4,deg_Qtilde,rational_roots,smallest_no_root_prime,no_root_primes_le_60
5,1,2,[],2,2;7;11;17;23;29;31;37;43;53;59
6,2,3,[],7,7;13;17;19;37;41;47;59
7,3,3,[],11,11;17;23;29;43;47;53
8,0,2,[],2,2;3;11;17;19;31;37;41;43;47
9,1,4,[],2,2;11;13;17;19;23;31;47;53;59
10,2,5,[],11,11;17;37;47;59
11,3,5,[],17,17;37
12,0,4,[],2,2;13;19;29;53;59
13,1,6,[],2,2;17;37
14,2,7,[],17,17;31;37;47;59
15,3,7,[],29,29;41;47
16,0,6,[],2,2;19;31;53;59
17,1,8,[],2,2;29;41;59
18,2,9,[],19,19;47
19,3,9,[],41,41
20,0,8,[],2,2;23;53;59
21,1,10,[],2,2;37;47
22,2,11,[],41,41;47
23,3,11,[],41,41
24,0,10,[],2,2;31;41;43;47;53;59
25,1,12,[],2,2;29;31;41;43;47;53
26,2,13,[],29,29;31;37;41;53;59
27,3,13,[],31,31;37;43;53
28,0,12,[],2,2;43;47;59
29,1,14,[],2,2;31;37;41;43;47;53
30,2,15,[],43,43;53;59
31,3,15,[],43,43;47;53
32,0,14,[],2,2
33,1,16,[],2,2
34,2,17,[],37,37;47;53
35,3,17,[],37,37;47;59
36,0,16,[],2,2;41;43;47
37,1,18,[],2,2;43;47
38,2,19,[],41,41
39,3,19,[],43,43;47
40,0,18,[],2,2;41
