b,p,deg,slopes,no_integer_slope,all_abs_slope_lt1,has_rational_root_obstruction
5,3,2,-1(len1); 0(len1),False,False,False
5,5,2,0(len2),False,True,False
5,7,2,0(len2),False,True,False
5,11,2,0(len2),False,True,False
5,13,2,0(len2),False,True,False
5,19,2,-1(len1); 0(len1),False,False,False
5,61,2,0(len2),False,True,False
6,2,3,-1(len1); 0(len2),False,False,False
6,3,3,-1(len1); 0(len2),False,False,False
6,5,3,0(len3),False,True,False
6,7,3,0(len3),False,True,False
6,11,3,0(len3),False,True,False
6,13,3,0(len3),False,True,False
6,8081,3,0(len3),False,True,False
7,2,3,-1(len1); 0(len2),False,False,False
7,3,3,0(len3),False,True,False
7,5,3,-1(len1); 0(len2),False,False,False
7,7,3,0(len3),False,True,False
7,11,3,0(len3),False,True,False
7,13,3,0(len3),False,True,False
7,37,3,0(len3),False,True,False
7,79,3,-1(len1); 0(len2),False,False,False
7,8011,3,0(len3),False,True,False
8,3,2,0(len2),False,True,False
8,5,2,0(len2),False,True,False
8,7,2,0(len2),False,True,False
8,11,2,0(len2),False,True,False
8,13,2,0(len2),False,True,False
8,23,2,-1(len1); 0(len1),False,False,False
8,29,2,0(len2),False,True,False
9,2,4,0(len4),False,True,False
9,3,4,-1(len1); 0(len3),False,False,False
9,5,4,-2(len1); 0(len3),False,False,False
9,7,4,-2(len1); 0(len3),False,False,False
9,11,4,0(len4),False,True,False
9,13,4,0(len4),False,True,False
9,131,4,0(len4),False,True,False
9,163,4,0(len4),False,True,False
9,2106989,4,0(len4),False,True,False
10,2,5,-1(len1); 0(len4),False,False,False
10,3,5,-1(len1); 0(len4),False,False,False
10,5,5,-1(len1); 0(len4),False,False,False
10,7,5,-2(len1); 0(len4),False,False,False
10,11,5,0(len5),False,True,False
10,13,5,0(len5),False,True,False
10,89,5,-1(len1); 0(len4),False,False,False
10,113,5,0(len5),False,True,False
10,257,5,0(len5),False,True,False
10,516821,5,0(len5),False,True,False
10,2832941,5,0(len5),False,True,False
11,2,5,-1(len1); 0(len4),False,False,False
11,3,5,-2(len1); -1(len1); 0(len3),False,False,False
11,5,5,0(len5),False,True,False
11,7,5,-1(len1); 0(len4),False,False,False
11,11,5,0(len5),False,True,False
11,13,5,-1(len1); 0(len4),False,False,False
11,59,5,-1(len1); 0(len4),False,False,False
11,49524049,5,0(len5),False,True,False
11,53775761009507,5,0(len5),False,True,False
12,2,4,0(len4),False,True,False
12,3,4,-1(len2); 0(len2),False,False,False
12,5,4,0(len4),False,True,False
12,7,4,-1(len1); 0(len3),False,False,False
12,11,4,0(len4),False,True,False
12,13,4,0(len4),False,True,False
12,41,4,-1(len1); 0(len3),False,False,False
12,129551371,4,0(len4),False,True,False
13,2,6,0(len6),False,True,False
13,3,6,-1(len2); 0(len4),False,False,False
13,5,6,-1(len1); 0(len5),False,False,False
13,7,6,-1(len1); 0(len5),False,False,False
13,11,6,-1(len1); 0(len5),False,False,False
13,13,6,0(len6),False,True,False
13,23,6,-1(len1); 0(len5),False,False,False
13,41,6,0(len6),False,True,False
13,179,6,0(len6),False,True,False
13,181,6,-1(len1); 0(len5),False,False,False
13,1993,6,0(len6),False,True,False
13,5309153701,6,0(len6),False,True,False
13,85296057375579499,6,0(len6),False,True,False
14,2,7,-1(len1); 0(len6),False,False,False
14,3,7,-3/2(len2); 0(len5),False,False,False
14,5,7,-2(len1); 0(len6),False,False,False
14,7,7,-1(len1); 0(len6),False,False,False
14,11,7,-1(len1); 0(len6),False,False,False
14,13,7,0(len7),False,True,False
14,41,7,0(len7),False,True,False
14,691,7,-1(len1); 0(len6),False,False,False
14,989120521577854029709867174331872334831972879,7,0(len7),False,True,False
15,2,7,-1(len1); 0(len6),False,False,False
15,3,7,-3(len1); -1(len1); 0(len5),False,False,False
15,5,7,-1(len1); 0(len6),False,False,False
15,7,7,0(len7),False,True,False
15,11,7,-2(len1); 0(len6),False,False,False
15,13,7,-1(len1); 0(len6),False,False,False
15,19,7,0(len7),False,True,False
15,23,7,0(len7),False,True,False
15,257,7,-1(len1); 0(len6),False,False,False
15,756015841407449720351,7,0(len7),False,True,False
15,215172878515800229801069,7,0(len7),False,True,False
16,2,6,0(len6),False,True,False
16,3,6,-3(len1); -1(len1); 0(len4),False,False,False
16,5,6,-1(len1); 0(len5),False,False,False
16,7,6,0(len6),False,True,False
16,11,6,-1/2(len2); 0(len4),False,True,False
16,13,6,-1(len1); 0(len5),False,False,False
16,67,6,-1(len1); 0(len5),False,False,False
16,151,6,0(len6),False,True,False
16,2939,6,0(len6),False,True,False
16,3337561134246555104303,6,0(len6),False,True,False
