n,lambda,Re,Im,v_pi,v2_f,core,quotient_ordered,v_pi_core,v2_f_core,residual
2,1.1,0,1,0,0,1.1,|||,0,0,0
2,2,1,0,0,0,2,|||,0,0,0
4,1.1.1.1,-1,0,0,0,,1|||,0,0,0
4,2.1.1,-1,2,0,0,,|1||,0,0,0
4,3.1,1,2,0,0,,||1|,0,0,0
4,4,1,0,0,0,,|||1,0,0,0
6,1.1.1.1.1.1,0,-1,0,0,1.1,||1|,0,0,0
6,2.1.1.1.1,-3,-2,0,0,2,|||1,0,0,0
6,2.2.1.1,-3,0,0,0,2,1|||,0,0,0
6,2.2.2,-2,-1,0,0,1.1,|1||,0,0,0
6,3.1.1.1,-6,2,3,1,3.1.1.1,|||,3,1,0
6,3.2.1,-4,4,5,4,3.2.1,|||,5,4,0
6,3.3,1,2,0,0,2,||1|,0,0,0
6,4.1.1,-2,6,3,1,4.1.1,|||,3,1,0
6,4.2,0,3,0,0,1.1,|||1,0,0,0
6,5.1,2,3,0,0,1.1,1|||,0,0,0
6,6,1,0,0,0,2,|1||,0,0,0
8,1.1.1.1.1.1.1.1,1,0,0,0,,1.1|||,0,0,0
8,2.1.1.1.1.1.1,3,-4,0,0,,|1.1||,0,0,0
8,2.2.1.1.1.1,0,-8,6,2,2.2,||1|,inf,1,
8,2.2.2.1.1,0,-8,6,2,2.2,|||1,inf,1,
8,2.2.2.2,-2,-4,2,1,,1|1||,0,0,1
8,3.1.1.1.1.1,-3,-12,0,0,,||1.1|,0,0,0
8,3.2.1.1.1,-16,-16,9,6,3.2.1.1.1,|||,9,6,0
8,3.2.2.1,-14,-12,2,1,,1||1|,0,0,1
8,3.3.1.1,-16,0,8,3,3.3.1.1,|||,8,3,0
8,3.3.2,-6,0,2,1,,|1|1|,0,0,1
8,4.1.1.1.1,-17,-8,0,0,,|||1.1,0,0,0
8,4.2.1.1,-30,0,2,1,,1|||1,0,0,1
8,4.2.2,-16,0,8,3,4.2.2,|||,8,3,0
8,4.3.1,-14,12,2,1,,|1||1,0,0,1
8,4.4,-2,4,2,1,,||1|1,0,0,1
8,5.1.1.1,-17,8,0,0,,2|||,0,0,0
8,5.2.1,-16,16,9,6,5.2.1,|||,9,6,0
8,5.3,0,8,6,2,2.2,1|||,inf,1,
8,6.1.1,-3,12,0,0,,|2||,0,0,0
8,6.2,0,8,6,2,2.2,|1||,inf,1,
8,7.1,3,4,0,0,,||2|,0,0,0
8,8,1,0,0,0,,|||2,0,0,0
10,1.1.1.1.1.1.1.1.1.1,0,1,0,0,1.1,||1.1|,0,0,0
10,2.1.1.1.1.1.1.1.1,5,4,0,0,2,|||1.1,0,0,0
10,2.2.1.1.1.1.1.1,15,0,0,0,2,1.1|||,0,0,0
10,2.2.2.1.1.1.1,20,-5,0,0,1.1,|1.1||,0,0,0
10,2.2.2.2.1.1,20,-10,2,1,1.1,|1|1|,0,0,1
10,2.2.2.2.2,6,-4,2,1,2,1|||1,0,0,1
10,3.1.1.1.1.1.1.1,20,-4,5,2,3.1.1.1,1|||,3,1,1
