m,lam,Jsize,mu,vpi,d,vL0,cls
2,2|2,2,2,inf,inf,1,G=0
3,4|1|1,2,2,3,1,1,within-J*
3,3|1|1|1,2,2,3,1,1,within-J*
4,6|2,2,4,6,2,1,needs-next
4,5|3,2,4,6,2,1,needs-next
4,4|2|2,2,6,8,2,2,within-J*
4,3|3|1|1,2,6,8,2,4,needs-next
4,2|2|2|1|1,2,4,6,2,1,needs-next
4,2|2|1|1|1|1,2,4,6,2,1,needs-next
5,8|1|1,2,4,5,1,1,within-J*
5,7|1|1|1,2,4,5,1,1,within-J*
5,5|2|1|1|1,2,9,11,2,1,needs-next
5,4|4|2,2,4,5,1,1,within-J*
5,4|4|1|1,2,4,5,1,1,within-J*
5,4|2|2|2,2,4,5,1,1,within-J*
5,4|1|1|1|1|1|1,2,4,5,1,1,within-J*
5,3|3|2|2,2,4,5,1,1,within-J*
5,3|1|1|1|1|1|1|1,2,4,5,1,1,within-J*
6,10|2,2,2,6,4,1,needs-next
6,9|3,2,2,6,4,1,needs-next
6,8|2|2,2,6,8,2,2,within-J*
6,7|4|1,2,11,12,1,1,within-J*
6,7|3|1|1,2,6,8,2,6,needs-next
6,6|6,2,4,9,5,1,needs-next
6,6|4|1|1,2,6,8,2,6,needs-next
6,6|3|3,2,2,6,4,1,needs-next
6,6|3|1|1|1,4,8,15,7,4,needs-next
6,6|2|2|1|1,2,4,9,5,1,needs-next
6,6|2|1|1|1|1,2,4,8,4,1,needs-next
6,5|5|2,2,6,8,2,2,within-J*
6,5|3|3|1,2,2,6,4,1,needs-next
6,5|3|2|1|1,2,4,8,4,1,needs-next
6,5|3|1|1|1|1,2,4,9,5,1,needs-next
6,5|2|2|1|1|1,4,8,15,7,4,needs-next
6,4|4|2|2,4,8,12,4,4,within-J*
6,4|3|3|1|1,2,2,6,4,1,needs-next
6,4|2|2|2|1|1,2,6,8,2,2,within-J*
6,4|2|2|1|1|1|1,2,6,8,2,2,within-J*
6,3|3|3|1|1|1,2,2,6,4,1,needs-next
6,3|3|2|2|2,2,6,8,2,6,needs-next
6,3|3|1|1|1|1|1|1,2,6,8,2,6,needs-next
6,3|2|2|2|1|1|1,2,11,12,1,1,within-J*
6,2|2|2|2|2|2,2,4,9,5,1,needs-next
6,2|2|2|1|1|1|1|1|1,2,2,6,4,1,needs-next
6,2|2|1|1|1|1|1|1|1|1,2,2,6,4,1,needs-next
7,12|1|1,2,2,3,1,1,within-J*
7,11|1|1|1,2,2,3,1,1,within-J*
7,9|2|1|1|1,2,9,15,6,1,needs-next
7,8|5|1,2,2,3,1,1,within-J*
7,8|4|2,2,4,5,1,1,within-J*
7,8|4|1|1,2,2,3,1,1,within-J*
7,8|2|2|2,2,4,5,1,1,within-J*
7,8|1|1|1|1|1|1,2,4,5,1,1,within-J*
7,7|5|2,2,2,3,1,1,within-J*
7,7|5|1|1,2,4,5,1,1,within-J*
7,7|4|2|1,2,2,3,1,1,within-J*
7,7|4|1|1|1,2,11,13,2,4,needs-next
7,7|3|2|2,2,4,5,1,1,within-J*
7,7|1|1|1|1|1|1|1,2,4,5,1,1,within-J*
7,6|4|2|2,2,2,3,1,1,within-J*
7,6|3|3|1|1,4,8,12,4,4,within-J*
7,6|3|2|1|1|1,2,13,15,2,1,needs-next
7,5|5|2|2,2,2,3,1,1,within-J*
7,5|4|3|1|1,2,9,13,4,1,needs-next
7,5|3|3|2|1,2,9,13,4,1,needs-next
7,5|3|3|1|1|1,4,8,12,4,4,within-J*
7,5|2|2|2|1|1|1,2,11,13,2,2,within-J*
7,5|2|1|1|1|1|1|1|1,2,9,15,6,1,needs-next
7,4|4|4|2,2,4,5,1,1,within-J*
