m,lam,f,Jstar,Jsize,mu,vpi,parity
1,2,1,0,1,0,0,0
1,1|1,1,0,1,0,0,0
2,4,1,0,1,0,0,0
2,3|1,3,0,1,0,0,0
2,2|2,2,0|2,2,2,inf,0
2,2|1|1,3,0,1,0,0,0
2,1|1|1|1,1,0,1,0,0,0
3,6,1,0,1,0,0,0
3,5|1,5,0,1,0,0,0
3,4|2,9,0,1,0,0,0
3,4|1|1,10,0|2,2,2,3,0
3,3|3,5,0,1,0,0,0
3,3|2|1,16,3,1,5,5,1
3,3|1|1|1,10,0|2,2,2,3,0
3,2|2|2,5,0,1,0,0,0
3,2|2|1|1,9,0,1,0,0,0
3,2|1|1|1|1,5,0,1,0,0,0
3,1|1|1|1|1|1,1,0,1,0,0,0
4,8,1,0,1,0,0,0
4,7|1,7,0,1,0,0,0
4,6|2,20,0|2,2,4,6,0
4,6|1|1,21,0,1,0,0,0
4,5|3,28,0|2,2,4,6,0
4,5|2|1,64,3,1,9,9,1
4,5|1|1|1,35,0,1,0,0,0
4,4|4,14,0,1,2,2,0
4,4|3|1,70,0,1,2,2,0
4,4|2|2,56,0|4,2,6,8,0
4,4|2|1|1,90,0,1,2,2,0
4,4|1|1|1|1,35,0,1,0,0,0
4,3|3|2,42,0,1,2,2,0
4,3|3|1|1,56,0|4,2,6,8,0
4,3|2|2|1,70,0,1,2,2,0
4,3|2|1|1|1,64,3,1,9,9,1
4,3|1|1|1|1|1,21,0,1,0,0,0
4,2|2|2|2,14,0,1,2,2,0
4,2|2|2|1|1,28,0|2,2,4,6,0
4,2|2|1|1|1|1,20,0|2,2,4,6,0
4,2|1|1|1|1|1|1,7,0,1,0,0,0
4,1|1|1|1|1|1|1|1,1,0,1,0,0,0
5,10,1,0,1,0,0,0
5,9|1,9,0,1,0,0,0
5,8|2,35,0,1,0,0,0
5,8|1|1,36,0|2,2,4,5,0
5,7|3,75,0,1,0,0,0
5,7|2|1,160,3,1,7,7,1
5,7|1|1|1,84,0|2,2,4,5,0
5,6|4,90,0,1,2,2,0
5,6|3|1,315,0,1,0,0,0
5,6|2|2,225,0,1,0,0,0
5,6|2|1|1,350,0,1,2,2,0
5,6|1|1|1|1,126,0,1,2,2,0
5,5|5,42,0,1,2,2,0
5,5|4|1,288,3,1,7,7,1
5,5|3|2,450,0,1,2,2,0
5,5|3|1|1,567,0,1,0,0,0
5,5|2|2|1,525,0,1,0,0,0
5,5|2|1|1|1,448,3|5,2,9,11,1
5,5|1|1|1|1|1,126,0,1,2,2,0
5,4|4|2,252,0|2,2,4,5,0
5,4|4|1|1,300,0|2,2,4,5,0
5,4|3|3,210,0,1,2,2,0
5,4|3|2|1,768,5,1,11,11,1
5,4|3|1|1|1,525,0,1,0,0,0
5,4|2|2|2,300,0|2,2,4,5,0
5,4|2|2|1|1,567,0,1,0,0,0
5,4|2|1|1|1|1,350,0,1,2,2,0
5,4|1|1|1|1|1|1,84,0|2,2,4,5,0
5,3|3|3|1,210,0,1,2,2,0
5,3|3|2|2,252,0|2,2,4,5,0
5,3|3|2|1|1,450,0,1,2,2,0
5,3|3|1|1|1|1,225,0,1,0,0,0
5,3|2|2|2|1,288,3,1,7,7,1
5,3|2|2|1|1|1,315,0,1,0,0,0
5,3|2|1|1|1|1|1,160,3,1,7,7,1
5,3|1|1|1|1|1|1|1,36,0|2,2,4,5,0
5,2|2|2|2|2,42,0,1,2,2,0
5,2|2|2|2|1|1,90,0,1,2,2,0
5,2|2|2|1|1|1|1,75,0,1,0,0,0
5,2|2|1|1|1|1|1|1,35,0,1,0,0,0
5,2|1|1|1|1|1|1|1|1,9,0,1,0,0,0
5,1|1|1|1|1|1|1|1|1|1,1,0,1,0,0,0
6,12,1,0,1,0,0,0
6,11|1,11,0,1,0,0,0
6,10|2,54,0|2,2,2,6,0
6,10|1|1,55,0,1,0,0,0
