m,lam,parity,Jstar,Jsize,mu,vpi,vpi_minus_mu,Mvec,valvec
2,2|2,0,0|2,2,2,inf,inf,2|1|1,2|3|2
3,4|1|1,0,0|2,2,2,3,1,10|4|1|0,2|5|2|inf
3,3|1|1|1,0,0|2,2,2,3,1,10|6|3|1,2|3|2|3
4,6|2,0,0|2,2,4,6,2,20|5|1|0|0,4|5|4|inf|inf
4,5|3,0,0|2,2,4,6,2,28|9|3|1|0,4|5|4|7|inf
4,4|2|2,0,0|4,2,6,8,2,56|26|12|5|2,6|7|8|7|6
4,3|3|1|1,0,0|4,2,6,8,2,56|30|16|9|6,6|7|12|7|6
4,2|2|2|1|1,0,0|2,2,4,6,2,28|19|13|9|6,4|5|4|7|6
4,2|2|1|1|1|1,0,0|2,2,4,6,2,20|15|11|8|6,4|5|4|13|6
5,8|1|1,0,0|2,2,4,5,1,36|8|1|0|0|0,4|7|4|inf|inf|inf
5,7|1|1|1,0,0|2,2,4,5,1,84|28|7|1|0|0,4|5|4|5|inf|inf
5,5|2|1|1|1,1,3|5,2,9,11,2,448|224|104|44|16|4,12|11|10|9|12|9
5,4|4|2,0,0|2,2,4,5,1,252|112|51|24|12|6,4|9|4|11|8|7
5,4|4|1|1,0,0|2,2,4,5,1,300|140|65|31|16|10,4|5|4|5|12|7
5,4|2|2|2,0,0|2,2,4,5,1,300|160|85|44|22|10,4|11|4|9|6|7
5,4|1|1|1|1|1|1,0,0|2,2,4,5,1,84|56|35|20|10|4,4|7|4|9|6|9
5,3|3|2|2,0,0|2,2,4,5,1,252|140|79|45|26|16,4|5|4|5|6|13
5,3|1|1|1|1|1|1|1,0,0|2,2,4,5,1,36|28|21|15|10|6,4|5|4|5|6|7
6,10|2,0,0|2,2,2,6,4,54|9|1|0|0|0|0,2|3|2|inf|inf|inf|inf
6,9|3,0,0|2,2,2,6,4,154|35|7|1|0|0|0,2|3|2|7|inf|inf|inf
