b,deg,disc_digits,disc_sign,cofactor_class,cofactor,lever,lever_witness,small_odd_mult,small_factors,build_s
2,1,1,1,unit,1,no,,,,0.04
3,1,1,1,unit,1,no,,,,0.0
6,3,5,1,(cofactor not analyzed; small witness suffices),8081,YES,5^1,5^1,5^1,0.0
7,3,6,1,(cofactor not analyzed; small witness suffices),8011,YES,37^1,3^1;37^1,3^1;37^1,0.0
10,5,23,1,(cofactor not analyzed; small witness suffices),1464123400561,YES,7^1;113^1;257^1,3^7;7^1;113^1;257^1,2^4;3^7;7^1;113^1;257^1,0.0
11,5,26,1,composite(unfactored),2663193423247114133843,?,,3^5;5^1,2^4;3^5;5^1,0.0
14,7,55,1,(cofactor not analyzed; small witness suffices),989120521577854029709867174331872334831972879,YES,11^1;13^1;41^1,11^1;13^1;41^1,2^8;3^8;11^1;13^1;41^1,0.0
15,7,61,1,(cofactor not analyzed; small witness suffices),162674104799185671699430942301456100410855219,YES,19^1;23^1,7^1;19^1;23^1,2^8;3^12;5^6;7^1;19^1;23^1,0.01
18,9,101,1,(cofactor not analyzed; small witness suffices),1426405642895233562356698102678983752011326221969449839774446903763,YES,13^1;17^1;61^1;2341^1,7^3;13^1;17^1;61^1;2341^1,2^28;3^18;5^8;7^3;11^2;13^1;17^1;61^1;2341^1,0.0
19,9,109,1,(cofactor not analyzed; small witness suffices),218144055488675625688128462689154254984078995468632969252192964445082878646642487919,YES,13^1;109^1,7^1;13^1;109^1,2^28;3^20;5^4;7^1;13^1;109^1,0.01
22,11,166,1,(cofactor not analyzed; small witness suffices),563974942924924911976985046909993946992739922345052250356861130440016188406337081941978687948010093873519719789117879,YES,17^3;19^1;3469^1,3^25;7^7;17^3;19^1;3469^1,2^36;3^25;5^14;7^7;13^2;17^3;19^1;3469^1,0.0
23,11,176,1,(cofactor not analyzed; small witness suffices),136276498583498792794797120739222026003236822727289169498901089562107535433962098962659806306569523884330046016013523214229574371861,YES,13^1;173^1,5^13;7^9;11^1;13^1;173^1,2^36;3^26;5^13;7^9;11^1;13^1;173^1,0.03
26,13,246,-1,(cofactor not analyzed; small witness suffices),225467913092511628563320501915236654178956161995950981372094737573848638176134762991524259981800527658664421355797413590827843127004650272359400769325709459735718737677,YES,23^1;107^1;2687^1;3019^1,3^39;5^25;23^1;107^1;2687^1;3019^1,2^56;3^39;5^25;7^12;17^2;19^2;23^1;107^1;2687^1;3019^1,0.01
