b,b2,gcd_is_1,res_digits,small_primes,large_cofactor_digits
6,7,True,7,2^6;3^2;5^1;1171^1,0
7,10,True,13,2^6;3^5;5^3;7^2;71^1;229^1,0
10,11,True,26,2^15;3^12;5^4;7^2;19^1;269^1;1181^1;14593^1,0
11,14,True,41,2^14;3^12;5^6;7^4;11^4;41^1;443^1,15
14,15,True,61,2^20;3^21;5^7;7^7;11^4;13^6;2069^1;13913^1,15
15,18,True,82,2^20;3^30;5^12;7^8;11^4;13^5;17^1;37^1;59^1;173^1;409^1;44381^1,23
18,19,True,105,2^46;3^34;5^13;7^9;11^5;13^6;17^8;89^1;1637^1,32
19,22,True,139,2^44;3^38;5^15;7^9;11^8;13^6;17^7;19^8;59^1;479^1;587^1,48
22,23,True,176,2^54;3^48;5^23;7^17;11^10;13^6;17^8;19^8;23^1;809^1;2687^1,61
23,26,True,212,2^54;3^51;5^28;7^17;11^11;13^6;17^9;19^8;23^11;109^1;32603^1,77
26,27,True,257,2^79;3^70;5^46;7^18;11^11;13^12;17^7;19^8;23^10;83^1;563^1;733^1,88
27,30,True,303,2^78;3^105;5^54;7^22;11^12;13^15;17^8;19^9;23^10;29^2;47^1;139^1,102
30,31,True,357,2^92;3^113;5^57;7^32;11^13;13^14;17^7;19^8;23^10;29^13;31^1;499^1;11383^1,120
31,34,True,414,2^92;3^115;5^63;7^30;11^19;13^13;17^8;19^8;23^10;29^13;31^14;67^1;1201^1;1217^1,146
34,35,True,476,2^159;3^131;5^64;7^34;11^28;13^15;17^16;19^10;23^12;29^13;31^14,158
35,38,True,540,2^156;3^142;5^76;7^47;11^33;13^16;17^17;19^10;23^10;29^14;31^15;619^1,188
38,39,True,610,2^174;3^185;5^79;7^46;11^27;13^19;17^19;19^18;23^11;29^13;31^15;37^18;163^1,193
39,42,True,687,2^174;3^195;5^84;7^53;11^27;13^33;17^18;19^20;23^10;29^13;31^14;37^18;47963^1,239
42,43,True,768,2^215;3^209;5^97;7^62;11^26;13^33;17^17;19^22;23^10;29^13;31^15;37^18;41^19;109^1;859^1,252
43,46,True,852,2^214;3^209;5^103;7^67;11^35;13^33;17^20;19^19;23^12;29^13;31^14;37^17;41^19;43^20;89^1,289
46,47,True,942,2^236;3^247;5^120;7^65;11^51;13^32;17^18;19^19;23^24;29^13;31^14;37^19;41^19;43^20;281^1;313^1;4099^1,305
47,50,True,1036,2^236;3^255;5^130;7^74;11^48;13^32;17^17;19^22;23^24;29^13;31^14;37^18;41^20;43^20;47^22;59^1;173^1;503^1;16481^1;18787^1;34499^1,333
50,51,True,1137,2^310;3^277;5^150;7^116;11^46;13^31;17^26;19^20;23^25;29^13;31^14;37^18;41^20;43^20;47^23;797^1,361
51,54,True,1240,2^308;3^317;5^161;7^116;11^44;13^42;17^43;19^20;23^23;29^13;31^14;37^18;41^20;43^21;47^22;53^1,410
54,55,True,1351,2^334;3^350;5^163;7^114;11^58;13^60;17^42;19^20;23^24;29^14;31^16;37^18;41^19;43^20;47^22;53^25;163^1,418
55,58,True,1464,2^334;3^354;5^187;7^126;11^73;13^54;17^44;19^28;23^25;29^15;31^14;37^18;41^19;43^21;47^22;53^25,481
58,59,True,1583,2^391;3^387;5^193;7^148;11^72;13^54;17^42;19^47;23^24;29^28;31^15;37^17;41^21;43^21;47^24;53^26;5261^1,494
