   b  deg  window_hi  exact_survivors    time
   2    1          1             NONE   0.00s
   3    1          2             NONE   0.00s
   6    3         11             NONE   0.00s
   7    3         16             NONE   0.00s
  10    5         33             NONE   0.00s
  11    5         39             NONE   0.00s
  14    7         64             NONE   0.00s
  15    7         74             NONE   0.00s
  18    9        106             NONE   0.00s
  19    9        119             NONE   0.00s
  22   11        159             NONE   0.00s
  23   11        174             NONE   0.00s
  26   13        223             NONE   0.00s
  27   13        240             NONE   0.00s
  30   15        297             NONE   0.00s
  31   15        317             NONE   0.00s
  34   17        381             NONE   0.00s
  35   17        404             NONE   0.00s
  38   19        476             NONE   0.00s
  39   19        501             NONE   0.00s
  42   21        582             NONE   0.00s
  43   21        610             NONE   0.00s
  46   23        698             NONE   0.00s
  47   23        728             NONE   0.00s
  50   25        825             NONE   0.00s
  51   25        858             NONE   0.00s
  54   27        962             NONE   0.00s
  55   27        998             NONE   0.00s
  58   29       1110             NONE   0.00s
  59   29       1148             NONE   0.00s
  62   31       1268             NONE   0.00s
  63   31       1309             NONE   0.00s
  66   33       1437             NONE   0.00s
  67   33       1481             NONE   0.00s
  70   35       1617             NONE   0.00s
  71   35       1663             NONE   0.00s
  74   37       1807             NONE   0.01s
  75   37       1856             NONE   0.01s
  78   39       2007             NONE   0.01s
  79   39       2059             NONE   0.01s
  82   41       2218             NONE   0.01s
  83   41       2273             NONE   0.01s
  86   43       2440             NONE   0.01s
  87   43       2497             NONE   0.01s
  90   45       2673             NONE   0.01s
  91   45       2732             NONE   0.01s
  94   47       2915             NONE   0.01s
  95   47       2978             NONE   0.01s
  98   49       3169             NONE   0.01s
  99   49       3234             NONE   0.01s
 102   51       3433             NONE   0.02s
 103   51       3500             NONE   0.02s
 106   53       3707             NONE   0.02s
 107   53       3778             NONE   0.02s
 110   55       3993             NONE   0.02s
 111   55       4065             NONE   0.02s
 114   57       4288             NONE   0.02s
 115   57       4364             NONE   0.02s
 118   59       4594             NONE   0.02s
 119   59       4673             NONE   0.02s

Wrote results/job3_window.csv (60 rows). ALL CLEAR
