b,deg,window_lo,window_hi,integer_roots_in_window,time_s
2,1,2,1,NONE,0.0
3,1,3,2,NONE,0.0
6,3,6,11,NONE,0.0
7,3,7,16,NONE,0.0
10,5,10,33,NONE,0.0
11,5,11,39,NONE,0.0
14,7,14,64,NONE,0.0
15,7,15,74,NONE,0.0
18,9,18,106,NONE,0.0
19,9,19,119,NONE,0.0
22,11,22,159,NONE,0.0
23,11,23,174,NONE,0.0
26,13,26,223,NONE,0.0
27,13,27,240,NONE,0.0
30,15,30,297,NONE,0.0
31,15,31,317,NONE,0.0
34,17,34,381,NONE,0.0
35,17,35,404,NONE,0.0
38,19,38,476,NONE,0.0
39,19,39,501,NONE,0.0
42,21,42,582,NONE,0.0
43,21,43,610,NONE,0.0
46,23,46,698,NONE,0.0
47,23,47,728,NONE,0.0
50,25,50,825,NONE,0.0
51,25,51,858,NONE,0.0
54,27,54,962,NONE,0.0
55,27,55,998,NONE,0.0
58,29,58,1110,NONE,0.0
59,29,59,1148,NONE,0.0
62,31,62,1268,NONE,0.0
63,31,63,1309,NONE,0.0
66,33,66,1437,NONE,0.0
67,33,67,1481,NONE,0.0
70,35,70,1617,NONE,0.0
71,35,71,1663,NONE,0.0
74,37,74,1807,NONE,0.01
75,37,75,1856,NONE,0.01
78,39,78,2007,NONE,0.01
79,39,79,2059,NONE,0.01
82,41,82,2218,NONE,0.01
83,41,83,2273,NONE,0.01
86,43,86,2440,NONE,0.01
87,43,87,2497,NONE,0.01
90,45,90,2673,NONE,0.01
91,45,91,2732,NONE,0.01
94,47,94,2915,NONE,0.01
95,47,95,2978,NONE,0.01
98,49,98,3169,NONE,0.01
99,49,99,3234,NONE,0.01
102,51,102,3433,NONE,0.02
103,51,103,3500,NONE,0.02
106,53,106,3707,NONE,0.02
107,53,107,3778,NONE,0.02
110,55,110,3993,NONE,0.02
111,55,111,4065,NONE,0.02
114,57,114,4288,NONE,0.02
115,57,115,4364,NONE,0.02
118,59,118,4594,NONE,0.02
119,59,119,4673,NONE,0.02
