b,deg,irreducible_certified,method,disc_is_square,time_s
2,1,True,irred mod 3,True,0.04
3,1,True,irred mod 3,True,0.0
6,3,True,irred mod 7,False,0.0
7,3,True,irred mod 11,False,0.0
10,5,True,irred mod 11,False,0.0
11,5,True,deg-incompat (multi-p),False,0.0
14,7,True,deg-incompat (multi-p),False,0.01
15,7,True,deg-incompat (multi-p),False,0.01
18,9,True,deg-incompat (multi-p),False,0.01
19,9,True,deg-incompat (multi-p),False,0.01
22,11,True,deg-incompat (multi-p),False,0.02
23,11,True,deg-incompat (multi-p),False,0.02
26,13,True,deg-incompat (multi-p),False,0.02
27,13,True,deg-incompat (multi-p),False,0.02
30,15,True,deg-incompat (multi-p),False,0.03
31,15,True,deg-incompat (multi-p),False,0.03
34,17,True,irred mod 37,False,0.03
35,17,True,deg-incompat (multi-p),False,0.04
38,19,True,deg-incompat (multi-p),False,0.06
39,19,True,deg-incompat (multi-p),False,0.05
42,21,True,deg-incompat (multi-p),False,0.07
43,21,True,deg-incompat (multi-p),False,0.08
46,23,True,irred mod 47,False,0.05
47,23,True,deg-incompat (multi-p),False,0.09
50,25,True,deg-incompat (multi-p),False,0.12
51,25,True,deg-incompat (multi-p),False,0.14
54,27,True,deg-incompat (multi-p),False,0.13
55,27,True,deg-incompat (multi-p),False,0.11
58,29,True,deg-incompat (multi-p),False,0.29
59,29,True,deg-incompat (multi-p),False,0.17
62,31,True,deg-incompat (multi-p),False,0.2
63,31,True,deg-incompat (multi-p),False,0.27
66,33,True,deg-incompat (multi-p),False,0.24
67,33,True,deg-incompat (multi-p),False,0.32
70,35,True,deg-incompat (multi-p),False,0.4
71,35,True,deg-incompat (multi-p),False,0.26
74,37,True,deg-incompat (multi-p),False,0.33
75,37,True,deg-incompat (multi-p),False,0.39
78,39,True,deg-incompat (multi-p),False,0.34
79,39,True,deg-incompat (multi-p),False,0.42
82,41,True,deg-incompat (multi-p),False,0.56
83,41,True,deg-incompat (multi-p),False,0.54
86,43,True,deg-incompat (multi-p),False,0.55
87,43,True,deg-incompat (multi-p),False,0.65
90,45,True,deg-incompat (multi-p),False,0.87
91,45,True,deg-incompat (multi-p),False,0.85
94,47,True,deg-incompat (multi-p),False,0.73
95,47,True,deg-incompat (multi-p),False,0.73
98,49,True,deg-incompat (multi-p),False,0.86
99,49,True,deg-incompat (multi-p),False,1.36
102,51,True,deg-incompat (multi-p),False,0.99
103,51,True,irred mod 109,False,0.94
106,53,True,deg-incompat (multi-p),False,1.01
107,53,True,deg-incompat (multi-p),False,1.6
110,55,True,deg-incompat (multi-p),False,1.33
111,55,True,deg-incompat (multi-p),False,1.62
114,57,True,irred mod 131,False,1.42
115,57,True,deg-incompat (multi-p),False,1.53
118,59,True,deg-incompat (multi-p),False,2.12
119,59,True,deg-incompat (multi-p),False,2.06
