m,lam,j,Mj,v2Mj,v2binom,val,f,v2f,jbits,mbits,in_Jstar,core4,quot4,quotsize
1,2,0,1,0,0,0,1,0,0,1,1,2,;;;,0|0|0|0
1,1|1,0,1,0,0,0,1,0,0,1,1,1|1,;;;,0|0|0|0
1,1|1,1,1,0,0,1,1,0,1,1,0,1|1,;;;,0|0|0|0
2,4,0,1,0,0,0,1,0,0,10,1,,;;;1,0|0|0|1
2,3|1,0,3,0,0,0,3,0,0,10,1,,;;1;,0|0|1|0
2,3|1,1,1,0,1,3,3,0,1,10,0,,;;1;,0|0|1|0
2,2|2,0,2,1,0,2,2,1,0,10,1,2|2,;;;,0|0|0|0
2,2|2,1,1,0,1,3,2,1,1,10,0,2|2,;;;,0|0|0|0
2,2|2,2,1,0,0,2,2,1,10,10,1,2|2,;;;,0|0|0|0
2,2|1|1,0,3,0,0,0,3,0,0,10,1,,;1;;,0|1|0|0
2,2|1|1,1,2,1,1,5,3,0,1,10,0,,;1;;,0|1|0|0
2,2|1|1,2,1,0,0,2,3,0,10,10,0,,;1;;,0|1|0|0
2,1|1|1|1,0,1,0,0,0,1,0,0,10,1,,1;;;,1|0|0|0
2,1|1|1|1,1,1,0,1,3,1,0,1,10,0,,1;;;,1|0|0|0
2,1|1|1|1,2,1,0,0,2,1,0,10,10,0,,1;;;,1|0|0|0
3,6,0,1,0,0,0,1,0,0,11,1,2,;1;;,0|1|0|0
3,5|1,0,5,0,0,0,5,0,0,11,1,1|1,1;;;,1|0|0|0
3,5|1,1,1,0,0,1,5,0,1,11,0,1|1,1;;;,1|0|0|0
3,4|2,0,9,0,0,0,9,0,0,11,1,1|1,;;;1,0|0|0|1
3,4|2,1,3,0,0,1,9,0,1,11,0,1|1,;;;1,0|0|0|1
3,4|2,2,1,0,0,2,9,0,10,11,0,1|1,;;;1,0|0|0|1
3,4|1|1,0,10,1,0,2,10,1,0,11,1,4|1|1,;;;,0|0|0|0
3,4|1|1,1,4,2,0,5,10,1,1,11,0,4|1|1,;;;,0|0|0|0
3,4|1|1,2,1,0,0,2,10,1,10,11,1,4|1|1,;;;,0|0|0|0
3,3|3,0,5,0,0,0,5,0,0,11,1,2,;;1;,0|0|1|0
3,3|3,1,2,1,0,3,5,0,1,11,0,2,;;1;,0|0|1|0
3,3|3,2,1,0,0,2,5,0,10,11,0,2,;;1;,0|0|1|0
3,3|3,3,1,0,0,3,5,0,11,11,0,2,;;1;,0|0|1|0
3,3|2|1,0,16,4,0,8,16,4,0,11,0,3|2|1,;;;,0|0|0|0
3,3|2|1,1,8,3,0,7,16,4,1,11,0,3|2|1,;;;,0|0|0|0
3,3|2|1,2,4,2,0,6,16,4,10,11,0,3|2|1,;;;,0|0|0|0
3,3|2|1,3,2,1,0,5,16,4,11,11,1,3|2|1,;;;,0|0|0|0
3,3|1|1|1,0,10,1,0,2,10,1,0,11,1,3|1|1|1,;;;,0|0|0|0
3,3|1|1|1,1,6,1,0,3,10,1,1,11,0,3|1|1|1,;;;,0|0|0|0
3,3|1|1|1,2,3,0,0,2,10,1,10,11,1,3|1|1|1,;;;,0|0|0|0
3,3|1|1|1,3,1,0,0,3,10,1,11,11,0,3|1|1|1,;;;,0|0|0|0
3,2|2|2,0,5,0,0,0,5,0,0,11,1,1|1,;1;;,0|1|0|0
3,2|2|2,1,3,0,0,1,5,0,1,11,0,1|1,;1;;,0|1|0|0
