n,lam,d,cand,Lzero,Rzero,shift_c,ratio_re,ratio_im
1,1,2,princN1,0,0,0,1.0,0.0
1,1,2,princN2,0,1,,,
1,1,2,fakedeg,0,0,0,1.0,0.0
1,1,3,princN1,0,0,0,1.0,0.0
1,1,3,princN2,0,0,,0.5,-0.866025
1,1,3,fakedeg,0,0,0,1.0,0.0
1,1,4,princN1,0,0,0,1.0,0.0
1,1,4,princN2,0,0,,0.5,-0.5
1,1,4,fakedeg,0,0,0,1.0,0.0
2,2,2,princN1,0,0,0,1.0,0.0
2,2,2,princN2,0,0,0,1.0,0.0
2,2,2,fakedeg,0,0,0,1.0,0.0
2,2,3,princN1,0,0,0,1.0,0.0
2,2,3,princN2,0,1,,,
2,2,3,fakedeg,0,0,0,1.0,0.0
2,2,4,princN1,0,0,0,1.0,0.0
2,2,4,princN2,0,0,3,0.0,-1.0
2,2,4,fakedeg,0,0,0,1.0,0.0
2,1|1,2,princN1,0,1,,,
2,1|1,2,princN2,0,0,0,1.0,0.0
2,1|1,2,princN3,0,0,0,1.0,0.0
2,1|1,2,fakedeg,0,0,0,1.0,0.0
2,1|1,3,princN1,0,1,,,
2,1|1,3,princN2,0,0,0,1.0,0.0
2,1|1,3,princN3,0,1,,,
2,1|1,3,fakedeg,0,0,0,1.0,0.0
2,1|1,4,princN1,0,1,,,
2,1|1,4,princN2,0,0,0,1.0,0.0
2,1|1,4,princN3,0,0,3,0.0,-1.0
2,1|1,4,fakedeg,0,0,0,1.0,0.0
3,3,2,princN1,0,0,0,1.0,0.0
3,3,2,princN2,0,1,,,
3,3,2,princN3,0,0,,0.5,0.0
3,3,2,fakedeg,0,0,0,1.0,0.0
3,3,3,princN1,0,0,0,1.0,0.0
3,3,3,princN2,0,0,0,1.0,0.0
3,3,3,princN3,0,0,0,1.0,0.0
3,3,3,fakedeg,0,0,0,1.0,0.0
3,3,4,princN1,0,0,0,1.0,0.0
3,3,4,princN2,0,1,,,
3,3,4,princN3,0,1,,,
3,3,4,fakedeg,0,0,0,1.0,0.0
3,2|1,2,princN2,1,1,0,,
3,2|1,2,princN3,1,1,0,,
3,2|1,2,fakedeg,1,1,0,,
3,2|1,3,princN2,0,0,,-2.0,0.0
3,2|1,3,princN3,0,0,,-2.0,-0.0
3,2|1,3,fakedeg,0,0,,-2.0,0.0
3,2|1,4,princN2,0,0,2,-1.0,-0.0
3,2|1,4,princN3,0,1,,,
3,2|1,4,fakedeg,0,0,2,-1.0,-0.0
3,1|1|1,2,princN1,0,1,,,
3,1|1|1,2,princN3,0,0,0,1.0,0.0
3,1|1|1,2,princN4,0,1,,,
3,1|1|1,2,fakedeg,0,0,0,1.0,0.0
3,1|1|1,3,princN1,0,1,,,
3,1|1|1,3,princN3,0,0,0,1.0,0.0
3,1|1|1,3,princN4,0,0,0,1.0,0.0
3,1|1|1,3,fakedeg,0,0,0,1.0,0.0
3,1|1|1,4,princN1,0,1,,,
3,1|1|1,4,princN3,0,0,0,1.0,0.0
3,1|1|1,4,princN4,0,1,,,
3,1|1|1,4,fakedeg,0,0,0,1.0,0.0
4,4,2,princN1,0,0,0,1.0,0.0
4,4,2,princN2,0,0,0,1.0,0.0
4,4,2,princN4,0,0,,0.333333,0.0
4,4,2,fakedeg,0,0,0,1.0,0.0
4,4,3,princN1,0,0,0,1.0,0.0
4,4,3,princN2,0,0,,0.5,-0.866025
4,4,3,princN4,0,0,,0.5,0.0
4,4,3,fakedeg,0,0,0,1.0,0.0
4,4,4,princN1,0,0,0,1.0,0.0
4,4,4,princN2,0,0,0,1.0,0.0
4,4,4,princN4,0,0,0,1.0,0.0
4,4,4,fakedeg,0,0,0,1.0,0.0
4,3|1,2,princN2,0,0,0,1.0,-0.0
4,3|1,2,princN3,0,0,0,1.0,-0.0
4,3|1,2,princN4,0,0,,0.333333,-0.0
4,3|1,2,fakedeg,0,0,0,1.0,-0.0
4,3|1,3,princN2,1,1,0,,
4,3|1,3,princN3,1,1,0,,
4,3|1,3,princN4,1,1,0,,
4,3|1,3,fakedeg,1,1,0,,
4,3|1,4,princN2,0,0,,-1.0,-2.0
4,3|1,4,princN3,0,0,,-1.0,-2.0
4,3|1,4,princN4,0,0,,-1.0,-2.0
4,3|1,4,fakedeg,0,0,,-1.0,-2.0
4,2|2,2,princN2,0,0,,2.0,-0.0
4,2|2,2,princN3,0,0,0,1.0,0.0
4,2|2,2,princN4,0,0,,0.5,0.0
4,2|2,2,fakedeg,0,0,0,1.0,0.0
4,2|2,3,princN2,0,0,,-1.0,1.732051
4,2|2,3,princN3,0,1,,,
4,2|2,3,princN4,0,0,,-2.0,-0.0
4,2|2,3,fakedeg,0,0,,-2.0,0.0
4,2|2,4,princN2,1,0,,,
4,2|2,4,princN3,1,1,0,,
4,2|2,4,princN4,1,1,0,,
4,2|2,4,fakedeg,1,1,0,,
4,2|1|1,2,princN2,0,1,,,
4,2|1|1,2,princN3,0,0,0,1.0,0.0
4,2|1|1,2,princN4,0,0,0,1.0,0.0
4,2|1|1,2,fakedeg,0,0,0,1.0,0.0
4,2|1|1,3,princN2,1,1,0,,
4,2|1|1,3,princN3,1,1,0,,
4,2|1|1,3,princN4,1,1,0,,
4,2|1|1,3,fakedeg,1,1,0,,
4,2|1|1,4,princN2,0,1,,,
4,2|1|1,4,princN3,0,0,,-1.0,2.0
4,2|1|1,4,princN4,0,0,,-1.0,2.0
4,2|1|1,4,fakedeg,0,0,,-1.0,2.0
4,1|1|1|1,2,princN1,0,1,,,
4,1|1|1|1,2,princN4,0,0,0,1.0,0.0
4,1|1|1|1,2,princN5,0,0,0,1.0,0.0
4,1|1|1|1,2,fakedeg,0,0,0,1.0,0.0
4,1|1|1|1,3,princN1,0,1,,,
4,1|1|1|1,3,princN4,0,0,0,1.0,0.0
4,1|1|1|1,3,princN5,0,0,,0.5,-0.866025
4,1|1|1|1,3,fakedeg,0,0,0,1.0,0.0
4,1|1|1|1,4,princN1,0,1,,,
4,1|1|1|1,4,princN4,0,0,0,1.0,0.0
4,1|1|1|1,4,princN5,0,0,0,1.0,0.0
4,1|1|1|1,4,fakedeg,0,0,0,1.0,0.0
5,5,2,princN1,0,0,0,1.0,0.0
5,5,2,princN2,0,1,,,
5,5,2,princN5,0,0,,0.166667,0.0
5,5,2,fakedeg,0,0,0,1.0,0.0
5,5,3,princN1,0,0,0,1.0,0.0
5,5,3,princN2,0,1,,,
5,5,3,princN5,0,1,,,
5,5,3,fakedeg,0,0,0,1.0,0.0
5,5,4,princN1,0,0,0,1.0,0.0
