Malt-vs-MN (must be 0 bad):
  c=6 i=2 : 0/150 bad
  c=7 i=2 : 0/150 bad
  c=7 i=4 : 0/150 bad
  c=8 i=2 : 0/150 bad
  c=8 i=5 : 0/150 bad

Grid stability + direct cross-check (poly content @ grids; direct small):
  c  i  k slc | g64 g128 g256 g512 | poly@win direct@win  match?
  6  2  4  ev  | 5   5   5   5   | 5        5           OK
  6  2  4  od  | 5   5   5   5   | 5        5           OK
  7  2  5  ev  | 7   7   7   7   | 7        7           OK
  7  2  5  od  | 7   7   7   7   | 7        7           OK
  7  4  3  ev  | 4   4   4   4   | 4        4           OK
  7  4  3  od  | 3   3   3   3   | 3        3           OK
  8  2  6  ev  | 8   8   8   8   | 8        8           OK
  8  2  6  od  | 8   8   8   8   | 8        8           OK
  8  5  3  ev  | 4   4   4   4   | 4        4           OK
  8  5  3  od  | 2   2   2   2   | 2        2           OK
  9  4  5  ev  | 7   7   7   7   | 7        7           OK
  9  4  5  od  | 8   8   8   8   | 8        8           OK
  9  6  3  ev  | 3   3   3   3   | 3        3           OK
  9  6  3  od  | 5   5   5   5   | 5        5           OK
  10 6  4  ev  | 5   5   5   5   | 5        5           OK
  10 6  4  od  | 5   5   5   5   | 5        5           OK
  11 7  4  ev  | 5   5   5   5   | 5        5           OK
  11 7  4  od  | 5   5   5   5   | 5        5           OK
  12 9  3  ev  | 4   4   4   4   | 4        4           OK
  12 9  3  od  | 2   2   2   2   | 2        2           OK
  5  2  3  ev  | 3   3   3   3   | 3        3           OK
  5  2  3  od  | 4   4   4   4   | 4        4           OK
  6  3  3  ev  | 3   3   3   3   | 3        3           OK
  6  3  3  od  | 2   2   2   2   | 2        2           OK
  10 8  2  ev  | 2   2   2   2   | 2        2           OK
  10 8  2  od  | 2   2   2   2   | 2        2           OK

ALL stable & direct-matched: True
